Salary,StandardHours
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,80
1000000000,
1000000000,
1000000000,80
1000000000,80
1000000000,80
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
1000000000,
