YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YEARSWITHCURRMANAGER
20,,15,15
33,,11,9
22,,11,15
20,,5,6
19,,2,8
22,,4,7
21,,7,9
20,,11,6
18,,11,8
18,,0,11
21,,5,10
19,,15,9
18,,1,11
22,,15,8
24,,2,15
20,,1,12
31,,13,8
26,,15,9
16,,1,10
18,,14,12
23,,14,4
15,,8,12
17,,12,8
26,,3,0
18,,4,11
17,,5,15
32,,6,9
16,,5,12
15,,5,7
15,,0,7
22,,13,5
17,,12,11
14,,4,8
15,,2,8
16,,2,10
24,,15,7
17,,1,9
15,,10,11
18,13,13,11
18,,1,12
14,,6,8
18,,2,17
17,,15,2
17,,15,14
16,,1,7
15,,5,8
13,,12,8
25,,4,12
17,,5,7
13,12,11,9
15,,5,11
13,,5,1
13,,6,0
16,,6,14
13,,1,9
15,,11,11
13,,1,9
15,,5,11
15,,5,9
12,,2,11
13,,3,7
13,,10,7
17,,11,8
13,,4,7
12,,1,5
15,11,4,8
12,,11,11
20,,13,17
12,,11,8
14,,4,11
14,,2,9
14,11,1,11
15,,2,12
13,,2,9
14,,2,13
22,,14,10
20,,0,7
16,,6,8
11,,10,8
37,,1,8
11,,5,8
40,,15,6
16,,5,13
11,,4,1
36,,4,13
22,,0,4
18,,3,7
11,,2,9
25,,3,9
13,,3,12
27,,15,7
13,,4,8
19,,2,7
16,,10,1
11,,11,1
15,,4,12
14,,4,10
11,,0,7
24,,1,11
29,,11,10
11,,5,7
14,,6,11
15,,4,13
11,,3,8
22,,12,9
15,,6,11
14,,5,7
10,,8,8
10,,9,5
11,,4,7
17,,0,15
10,,7,4
12,,6,10
10,,1,9
10,,4,7
11,,5,9
11,,6,9
24,,9,11
21,,11,10
10,,8,9
21,,13,3
10,,9,8
10,,1,2
11,,4,10
13,,1,12
10,,9,0
10,,7,7
11,,6,9
10,,5,8
10,,6,9
31,,0,9
10,,8,8
10,,7,8
13,,3,7
12,,3,8
26,,1,7
10,,0,8
19,,1,9
12,,4,9
11,,0,9
21,,13,14
13,,4,9
11,,5,7
10,,0,9
10,,1,8
22,,3,10
33,,15,0
25,,14,13
10,,1,8
19,,15,2
19,,9,11
33,,0,10
10,,5,9
10,,0,8
10,,0,9
13,,3,12
12,,5,8
12,,2,8
15,,10,10
14,,1,12
10,,8,6
10,,1,5
10,,6,8
11,,6,7
10,,8,7
10,,8,8
16,,14,14
10,,1,7
10,,0,9
10,,1,4
20,,3,7
10,,9,4
10,,9,8
20,,9,6
25,,3,7
9,,1,7
12,,3,7
9,,1,8
9,,7,8
10,,3,0
9,,4,7
11,,2,7
11,,5,7
10,,0,6
9,,3,7
9,,1,8
20,,9,9
20,,11,8
14,,9,8
11,,5,8
10,,0,7
9,,5,8
9,,4,7
9,,0,8
13,,4,8
10,,0,1
10,,1,9
21,,1,6
29,,11,10
9,,7,8
13,,0,8
10,,9,7
20,,3,8
10,,4,7
9,,7,8
9,,7,7
9,,0,8
9,,0,8
9,,0,0
10,,5,3
16,,4,11
9,,0,0
11,,3,9
9,,7,8
10,,6,0
9,,0,8
14,,7,8
9,,2,3
11,,3,10
10,,0,8
14,,3,11
9,,0,8
11,,5,10
9,,7,5
10,,9,6
20,,2,10
9,,8,8
10,,9,6
9,,1,5
10,,4,7
9,,4,8
9,,8,8
14,,6,9
11,,3,3
10,,3,7
20,,13,9
10,,7,7
10,,6,7
9,,7,7
30,,12,13
10,,0,7
11,,7,9
10,,4,7
10,,8,7
9,,5,8
21,,12,8
9,,1,7
12,,5,7
10,,7,6
10,,4,8
11,,3,10
9,,4,7
9,,5,8
10,,0,2
9,,3,8
14,,2,1
10,,8,7
10,,0,9
20,,11,10
11,,5,10
12,,1,7
13,,5,12
9,,0,0
10,,1,7
8,,3,0
7,,3,6
9,,1,8
7,,7,7
9,,4,2
7,,1,7
11,,1,8
10,,1,0
9,,0,6
9,,2,8
10,,0,9
7,7,0,7
7,,7,7
9,,0,7
8,,5,7
8,,0,7
20,,2,13
7,,4,5
10,,0,9
8,,7,2
8,,1,6
7,,1,0
7,,0,3
8,,1,7
7,,1,7
7,,1,7
7,,0,7
19,,12,8
10,,0,8
9,,1,7
33,,15,12
21,,3,9
8,,7,5
7,,7,7
20,,4,10
10,,9,9
7,,6,2
10,,0,9
10,,0,8
8,,7,4
8,,7,7
8,,1,7
7,,1,7
7,,0,7
7,,0,1
9,,0,0
7,,0,7
8,,0,7
7,,1,7
7,,6,7
8,,7,7
7,,1,7
8,,7,7
7,,0,7
18,,12,17
7,,7,7
10,,0,7
10,,0,8
11,,6,7
8,,0,0
9,,6,7
8,,3,7
7,,1,0
8,,0,7
10,,5,7
7,,5,7
8,,4,7
14,,8,10
10,,7,8
9,,7,1
7,,0,5
10,,2,8
8,,7,7
20,7,11,10
10,,0,8
9,,1,8
9,,0,7
7,,7,7
7,,1,7
9,,1,7
22,,2,10
7,,3,7
8,,0,5
8,,7,7
10,,1,1
8,,3,1
10,,0,9
8,,1,1
15,,4,12
8,,3,7
24,,14,9
9,,0,5
10,,0,7
9,,7,3
8,,7,5
8,,1,7
8,,7,1
7,,1,0
7,,5,2
7,,0,7
9,,8,5
8,,6,3
16,,3,7
9,,0,8
8,,0,7
7,,0,7
8,,0,7
10,,0,8
8,,1,7
8,,1,3
8,,6,7
18,,0,13
8,,7,7
15,,6,12
7,,7,5
9,,6,2
10,,1,9
8,,1,7
8,,4,7
13,,3,8
7,,5,6
8,,2,7
9,,1,7
8,,0,1
18,,11,5
20,,4,9
10,,1,2
18,,2,13
8,,0,7
7,,6,4
7,,4,7
7,,1,7
10,,0,1
7,,1,7
10,,8,9
11,,1,9
8,,0,7
7,,7,7
9,,6,8
8,,0,7
7,,1,7
9,,5,4
21,,15,17
10,,0,5
7,,7,7
10,,0,8
7,,1,7
8,,7,7
8,,1,7
9,,1,6
7,,1,7
15,,6,13
9,,0,0
19,,3,8
8,,7,7
20,,1,8
20,,0,9
7,,0,7
8,,7,7
20,,12,7
7,,0,0
8,,0,7
13,,9,9
7,,4,3
7,,0,7
8,,0,7
10,,0,4
9,,0,7
7,,0,7
21,,7,7
8,,7,7
33,,1,9
22,,1,10
10,,1,4
10,,4,5
9,,7,2
7,,7,7
7,,0,7
10,,3,9
10,,0,2
7,,0,7
8,,0,0
9,,7,7
7,,5,7
8,,6,7
13,,6,7
10,,0,9
7,,0,7
9,,0,7
7,,1,7
11,,1,7
7,,0,7
9,,1,8
12,,5,7
10,,7,7
7,,1,7
7,,0,2
9,7,3,7
8,,5,7
7,,7,7
8,,0,7
19,,11,16
8,,0,7
13,,5,7
7,,7,7
7,,0,7
8,,1,7
8,,1,1
7,,7,6
7,,0,7
10,,0,8
9,,2,8
11,,4,8
10,,0,8
9,,8,1
7,,1,7
9,,3,4
20,,0,10
8,,1,7
10,,1,9
7,,1,7
12,6,2,11
22,,5,17
9,,0,8
7,,7,7
19,,11,8
9,,7,8
10,,8,8
16,,0,13
7,,7,7
20,,5,13
21,,12,6
7,,0,7
34,,1,16
20,,4,17
7,,7,7
31,,14,7
10,,0,7
21,,11,8
21,,2,8
10,,0,8
20,,3,6
22,,13,7
8,,4,0
7,,5,0
7,,5,7
9,,1,1
8,,1,7
20,,14,17
32,,13,9
36,,2,13
7,,7,6
9,,1,4
21,6,8,6
10,,0,3
7,,7,3
22,,4,14
9,,0,8
9,,0,8
9,,8,7
7,,0,7
6,,0,3
6,,0,3
6,,1,5
6,,1,4
7,,0,7
6,,0,4
6,,0,5
6,,1,2
9,,7,7
6,,4,3
6,,1,4
32,,10,7
6,,1,3
6,,0,4
6,,1,4
6,,1,4
6,,1,3
8,,1,6
6,,1,1
6,,1,2
7,,1,7
7,,1,1
6,,1,3
6,,3,3
10,,7,7
6,,0,1
8,,2,2
6,,1,2
6,,1,3
6,,1,2
9,,1,6
6,,1,2
23,,14,10
6,,0,5
5,,0,3
5,,0,4
10,,0,9
6,,0,4
6,,0,2
5,,0,4
6,,0,3
5,,4,3
5,,4,3
5,,0,4
5,,0,4
5,,4,4
5,,1,4
5,,0,3
5,,2,2
10,,1,9
5,,1,4
5,,0,4
5,,1,4
5,,0,1
10,,1,6
20,,4,8
5,,0,4
5,,1,4
5,,1,2
5,4,0,3
6,,1,0
5,,1,2
6,,0,4
5,,1,3
5,,1,3
5,,4,4
5,,0,4
5,,0,2
5,,0,2
5,,4,3
5,,0,1
5,,0,3
7,,0,6
6,,0,5
5,,1,3
5,,0,3
5,,0,2
5,,0,3
6,,0,2
5,4,0,0
5,,0,4
5,,0,3
8,,7,7
5,,1,3
6,,0,4
9,,7,0
5,,0,3
5,,2,1
5,,0,3
5,,1,4
6,,1,5
6,,0,2
5,,1,3
5,,1,4
5,,1,4
11,,0,8
8,4,1,7
10,,1,1
5,,1,0
5,,0,0
5,,1,4
6,,1,3
5,,1,2
6,,0,5
5,,0,4
5,,0,1
10,,1,8
5,,0,3
5,,0,2
5,,1,3
5,,0,2
5,,1,2
5,,1,0
5,,0,3
8,,7,1
6,,1,3
5,,1,2
6,,0,2
6,,1,1
5,,0,2
8,,7,7
5,,1,0
5,,0,4
5,,1,2
5,,1,4
5,,1,4
5,,0,4
5,,0,3
7,,7,7
5,,0,2
5,,1,4
10,,0,9
5,,4,3
5,,0,2
5,,0,4
5,,0,4
9,,1,7
5,,0,3
5,,1,4
5,,1,3
4,,1,3
10,,9,9
27,,13,8
4,,1,3
22,,11,11
4,,0,3
8,,0,7
5,,4,4
5,,1,2
5,,1,3
5,,1,2
4,,1,2
5,,1,4
8,,0,7
4,,0,2
5,,0,2
5,,2,0
6,,0,1
4,,0,1
4,,1,2
6,,1,5
5,,1,3
5,,3,3
5,,0,2
8,,0,7
5,,1,2
4,,1,2
4,,0,3
4,,0,2
4,,0,2
4,,1,3
5,,1,4
5,,1,4
7,,5,7
4,,1,3
10,,9,7
14,,1,10
8,,0,7
5,,1,4
6,,1,2
5,,0,3
4,,0,2
4,,1,3
4,,0,2
8,,3,6
4,,1,2
4,,1,2
5,,1,4
5,,4,3
4,,0,3
4,,0,2
4,,1,2
4,,0,1
5,,1,3
5,,0,3
5,,1,3
4,,0,3
4,,0,3
5,,1,3
5,,0,2
4,,0,3
4,,1,1
5,,4,3
9,,1,1
6,,0,4
4,,0,1
5,,1,3
5,,1,3
5,,0,4
4,,1,2
10,,1,4
4,,1,3
4,,0,3
6,,1,4
4,,0,3
4,,1,1
5,,0,3
7,,7,7
9,,1,7
5,,0,4
5,,0,2
4,,1,1
4,3,1,3
4,,1,3
4,,0,3
4,,0,3
5,,0,0
5,,1,3
4,,1,2
5,,0,2
5,,4,2
6,,1,2
5,,0,0
4,3,0,2
6,,1,3
4,,1,3
4,,3,3
4,,1,2
6,,1,3
5,,0,4
5,,1,2
4,,0,2
5,,0,4
5,,0,4
5,,2,3
5,,0,3
4,,2,2
4,,0,2
10,,0,8
5,,0,3
5,,1,2
6,,3,3
5,,1,0
5,,0,4
5,,1,2
5,,0,4
5,,1,4
5,,0,2
4,,2,3
4,,1,2
8,,7,7
4,,1,2
5,,1,0
5,,0,4
4,,1,2
6,,0,1
6,,0,0
5,,0,1
5,,0,2
4,,1,1
4,,0,3
4,,1,2
2,,2,2
5,,4,3
2,,1,2
4,,0,3
6,,0,5
3,,1,2
4,,1,3
4,,1,3
10,,6,7
2,,2,1
4,,1,3
3,,0,2
2,,2,2
2,,2,2
2,,0,0
2,,2,2
3,,1,2
5,,0,2
4,,0,2
5,,1,3
4,,0,3
3,,0,2
3,,1,2
3,,0,2
3,,2,2
2,,2,1
3,,1,2
2,,2,1
2,,2,2
3,,0,1
4,,0,3
2,,2,2
3,,2,2
3,,2,2
2,,2,2
2,,2,2
5,,0,2
5,,1,1
2,,2,2
2,,2,1
4,,0,2
3,,1,2
3,,0,2
4,2,1,3
6,,1,2
2,,2,0
7,,3,7
4,,2,2
3,,0,2
4,,0,3
5,,0,4
6,,1,5
6,,0,5
3,,1,1
2,,2,2
2,,2,2
3,,1,2
3,,1,2
3,,2,2
2,,2,2
2,,0,2
3,,0,2
3,,0,2
3,,0,2
4,,1,2
6,,0,4
5,,0,4
3,,1,0
5,,0,2
2,,1,2
3,,0,2
3,,1,2
2,,2,2
4,,1,2
5,,0,3
2,,1,0
2,,2,2
8,,7,7
3,,2,2
3,,1,1
3,,2,2
6,,0,4
4,,0,2
3,,1,0
2,,2,2
3,,1,2
3,,1,2
3,2,2,2
2,,2,2
3,,1,2
5,,0,4
5,,0,0
2,,2,2
5,,0,4
5,,0,3
5,,1,2
4,,1,2
3,,1,2
3,,1,2
5,,0,2
4,,3,2
2,,0,2
2,,0,2
5,,1,4
2,,1,0
3,,0,2
10,,0,7
2,,1,1
3,,0,1
3,,1,2
3,,1,2
3,,0,2
2,,2,0
2,,1,2
3,2,1,2
2,,1,2
4,,1,2
2,,2,1
3,,0,2
10,,2,2
3,,0,2
2,2,0,2
8,,0,6
3,,1,2
2,,0,1
2,,2,2
3,,0,2
3,,0,2
4,,1,1
3,,0,2
3,,1,2
2,,2,2
2,,2,0
2,,2,2
2,,2,2
5,,1,4
22,,11,13
2,,2,2
2,,2,2
4,,2,3
2,,2,2
2,,2,2
2,,0,2
5,,1,4
2,,2,0
4,,1,3
4,,1,1
3,,0,2
2,,0,2
3,,1,2
5,,1,4
3,,0,2
2,,2,2
2,,2,1
5,,0,4
5,,1,3
3,,0,2
5,,2,3
5,,0,3
5,,0,4
2,,2,2
3,,0,2
10,,7,8
5,,0,3
4,,0,2
5,,3,4
2,,1,2
3,,0,2
5,,2,2
4,,0,2
2,,0,2
3,,1,2
3,,0,2
2,,2,2
2,,2,2
3,,0,2
6,,0,1
5,,1,0
3,,1,2
3,,0,2
2,,2,2
5,,0,1
4,,3,2
4,,0,2
3,,1,2
2,,2,2
2,,2,1
3,,2,2
3,,1,2
2,,2,2
2,,2,2
3,,1,2
2,,2,2
2,,2,2
2,,0,2
6,,0,2
3,,1,2
3,,1,2
3,,1,2
4,,2,2
6,,0,4
2,,2,2
3,,0,2
2,,2,2
2,,2,2
5,,0,2
3,,0,2
5,,0,3
2,,2,2
6,,1,3
4,2,2,2
2,,2,2
5,,4,2
3,,0,2
2,,1,2
2,,2,2
4,,0,3
2,,2,2
13,,4,12
3,,1,2
2,,2,2
3,,0,2
4,,0,2
3,,2,2
2,,2,2
3,,1,2
2,,2,1
2,,2,2
5,,0,3
9,,6,7
3,,1,2
19,,11,9
3,,2,2
3,,1,2
4,,0,0
3,,1,2
4,,0,3
5,,0,3
6,,0,0
4,,3,2
4,,0,3
10,,6,7
4,,3,2
6,,3,3
3,,1,2
3,,1,2
6,2,4,4
8,,7,7
3,,0,2
2,,2,2
3,,0,2
3,,0,2
3,,1,0
3,,0,2
3,,2,2
3,,1,0
4,,0,3
3,,0,2
2,2,2,2
2,,2,2
2,,2,2
5,,0,3
3,,1,2
5,,1,3
3,,1,2
2,,2,2
3,,1,2
4,,1,3
3,,1,2
3,,0,2
5,,0,0
7,,7,7
2,,2,2
3,,1,2
2,,2,2
4,,1,3
5,,1,4
8,,7,6
2,,2,1
3,,1,2
5,,0,4
2,,2,2
3,,0,2
8,,7,7
4,,1,3
3,,0,2
5,,0,3
3,,1,1
2,,2,2
5,,1,0
9,,3,8
4,,3,3
2,,2,2
2,,2,2
3,,0,2
4,,1,2
4,,0,3
5,,1,4
3,,0,2
4,,1,2
2,,2,2
3,,1,2
6,,0,4
2,,2,2
3,,1,2
2,,0,2
3,,0,2
2,,2,2
4,,1,2
3,,0,2
3,,0,2
5,,1,3
5,,0,3
3,,1,2
6,,1,2
2,,2,2
3,2,1,2
2,,2,1
4,,1,2
5,,0,2
6,,1,4
2,,2,2
3,,0,2
3,,0,2
2,,2,2
2,2,2,2
5,,0,3
2,,2,2
3,,1,2
3,,1,2
3,,2,2
3,,1,2
4,,0,3
2,,2,2
2,,2,0
2,,2,0
3,,2,2
2,,2,2
2,,2,2
5,,0,4
3,,1,2
3,,0,2
5,,3,0
4,,1,0
4,,1,3
5,,1,4
4,,0,1
2,,2,2
4,,0,3
3,,1,2
5,,0,3
4,,2,3
2,,2,2
6,,1,2
5,,1,4
5,,1,4
2,,0,2
2,,1,2
2,,2,2
3,,1,2
6,,4,1
2,,2,2
2,,1,2
4,,0,2
2,,2,2
4,,1,2
2,,2,2
10,,0,2
3,,2,0
4,,0,0
5,,0,3
6,,0,3
1,1,0,0
1,,0,0
1,,1,0
2,,2,1
1,,0,1
3,,0,2
8,,1,7
3,,0,2
5,,0,3
4,,1,2
7,,0,7
1,,0,0
2,,1,2
6,1,0,5
3,,1,2
1,,0,0
5,,1,3
5,,4,3
4,,1,0
5,,0,4
2,,2,2
1,,0,0
1,,0,0
14,,11,7
3,,0,2
2,,0,2
15,,0,9
1,,0,0
8,,7,7
1,,0,0
3,,0,2
1,,0,0
1,,0,0
1,,0,0
2,,2,2
5,,1,3
1,1,0,0
6,,0,5
9,,0,8
3,,1,2
3,,1,2
2,,2,2
1,,0,0
7,,2,5
1,,0,0
5,,0,4
6,,0,5
2,,2,2
7,,0,7
2,,2,2
5,,1,4
7,,1,7
10,,0,8
4,,0,3
5,,1,2
4,,0,3
1,,0,0
0,,0,0
1,,0,0
1,,0,0
1,,0,0
0,,0,0
10,,1,8
1,,0,0
2,,2,0
1,,0,0
1,,0,0
1,,0,1
1,,0,0
1,,0,1
1,,0,0
4,,2,3
5,,0,2
1,,0,0
1,,0,0
1,,0,0
0,,0,0
1,,1,0
0,,0,0
1,,0,0
1,,1,0
1,,0,0
0,,0,0
1,,0,0
1,,0,0
0,,0,0
5,,1,4
1,,0,0
1,,0,0
1,,0,0
0,,0,0
1,,1,0
1,,0,1
1,,0,0
1,,0,0
1,,0,0
1,,0,0
7,,0,6
1,,0,0
24,,1,7
1,,0,0
1,,0,0
0,,0,0
0,,0,0
9,,7,8
8,,7,7
1,,0,0
8,,7,7
0,,0,0
1,,0,0
0,,0,0
1,,0,0
1,,0,0
0,,0,0
1,,0,0
8,,0,7
0,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,1
1,,0,0
10,,1,8
1,,0,0
1,,0,0
1,,0,0
5,,0,4
1,,0,0
1,,0,0
0,,0,0
1,,0,1
0,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,0
3,,1,0
1,,0,0
1,,0,0
0,,0,0
5,,1,2
1,,0,0
6,,1,2
1,,1,1
1,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,1
0,,0,0
0,,0,0
1,,0,0
1,,0,0
1,,0,0
0,,0,0
1,,0,0
0,,0,0
1,,0,0
3,,0,2
2,,2,2
10,,0,9
1,,0,1
1,,0,0
1,,0,0
1,,0,0
1,,1,0
6,,0,4
0,,0,0
3,,0,2
1,,0,0
1,,0,0
1,,0,0
1,,0,0
5,,1,4
1,,0,0
1,,0,0
0,,0,0
9,,0,7
0,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,1,0
10,,2,7
1,,0,0
1,,0,0
0,,0,0
0,,0,0
1,,0,0
1,,0,0
0,,0,0
1,,0,0
8,,1,7
1,,0,0
0,,0,0
0,,0,0
1,,0,0
0,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,0
6,,1,0
1,,0,0
1,,0,0
1,,0,1
1,0,0,1
1,,1,0
1,,0,0
7,,7,7
0,,0,0
1,,0,0
0,,0,0
1,,0,0
1,,0,0
1,,0,0
5,,1,4
1,,0,0
1,,0,0
1,,0,0
1,0,0,0
0,,0,0
1,,0,0
0,,0,0
1,,0,0
0,,0,0
2,,2,2
1,,0,0
1,0,0,0
3,,1,2
1,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,1
1,,0,1
26,,0,12
0,,0,0
10,,0,9
10,,0,2
2,,0,2
0,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,0
10,,0,8
1,,0,0
0,,0,0
5,,0,3
5,,1,2
0,,0,0
1,,0,0
1,,0,0
7,,1,7
1,,1,0
1,,0,0
1,,0,0
1,,1,0
1,,0,0
10,,4,7
0,,0,0
0,,0,0
1,,0,0
1,,0,0
0,,0,0
7,,1,6
0,,0,0
1,,0,0
1,,1,0
1,,0,0
1,,0,0
1,,0,0
1,,1,0
2,0,2,2
1,,0,0
2,,2,2
0,,0,0
10,,7,9
1,,0,0
0,,0,0
1,,0,0
1,,0,0
1,,0,0
1,,0,0
2,,1,2
1,,0,0
6,,1,3
1,,1,0
9,,1,7
11,,5,7
5,,1,4
5,,0,2
40,,15,6
16,,5,13
11,,4,1
36,,4,13
22,,0,4
18,,3,7
11,,2,9
25,,3,9
13,,3,12
27,,15,7
2,,2,2
3,,1,2
2,,2,2
2,,2,2
2,,2,2
2,,2,2
5,,0,2
3,,0,2
5,,0,3
2,,2,2
6,,1,3
4,2,2,2
2,,2,2
5,,4,2
3,,0,2
9,,1,8
12,,5,7
10,,7,7
7,,1,7
7,,0,2
9,7,3,7
8,,5,7
7,,7,7
8,,0,7
19,,11,16
8,,0,7
13,,5,7
7,,7,7
7,,0,7
5,,0,3
2,,1,0
2,,2,2
8,,7,7
3,,2,2
3,,1,1
3,,2,2
6,,0,4
4,,0,2
3,,1,0
2,,2,2
3,,1,2
3,,1,2
3,2,2,2
2,,2,2
3,,1,2
5,,0,4
5,,0,0
2,,2,2
5,,0,4
5,,0,3
5,,1,2
4,,1,2
3,,1,2
3,,1,2
5,,0,2
4,,3,2
2,,0,2
2,,0,2
20,,4,10
10,,9,9
7,,6,2
10,,0,9
10,,0,8
8,,7,4
8,,7,7
8,,1,7
7,,1,7
7,,0,7
7,,0,1
9,,0,0
7,,0,7
8,,0,7
7,,1,7
7,,6,7
8,,7,7
7,,1,7
8,,7,7
7,,0,7
18,,12,17
7,,7,7
10,,0,7
10,,0,8
11,,6,7
8,,0,0
9,,6,7
8,,3,7
7,,1,0
8,,0,7
10,,5,7
7,,5,7
8,,4,7
14,,8,10
10,,7,8
9,,7,1
7,,0,5
10,,2,8
8,,7,7
20,7,11,10
10,,0,8
9,,1,8
9,,0,7
7,,7,7
7,,1,7
9,,1,7
22,,2,10
7,,3,7
8,,0,5
8,,7,7
10,,1,1
8,,3,1
10,,0,9
8,,1,1
15,,4,12
8,,3,7
24,,14,9
9,,0,5
10,,0,7
9,,7,3
8,,7,5
8,,1,7
8,,7,1
7,,1,0
7,,5,2
7,,0,7
9,,8,5
8,,6,3
16,,3,7
9,,0,8
8,,0,7
7,,0,7
8,,0,7
